/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
[20/Oct/2023:11:39:02 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:02 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:02 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:02 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:03 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:03 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:03 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:03 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:04 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:04 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:04 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:04 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:05 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:05 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:05 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:05 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:06 +0000]172.20.0.1 ->172.20.0.9:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:06 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:06 +0000]172.20.0.1 ->172.20.0.9:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:06 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:07 +0000]172.20.0.1 ->172.20.0.9:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:07 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:07 +0000]172.20.0.1 ->172.20.0.9:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
[20/Oct/2023:11:39:07 +0000]172.20.0.1 ->172.20.0.13:8080"GET /user/get/8eb54d56-15eb-4305-a2e2-c2d09ababe8f HTTP/1.1" 200 141 "python-requests/2.28.1"
